mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
6.33,0.507,4.979,0.138,1.38,0.465,6.963,3.121,0.0
8.495,0.51,3.113,0.155,1.353,0.476,5.097,3.008,0.0
9.455,0.518,2.43,0.135,1.291,0.474,4.33,2.979,0.0
10.229,0.538,1.606,0.164,1.18,0.436,3.386,2.98,0.0
10.41,0.548,1.912,0.154,1.158,0.389,3.613,2.968,0.0
9.634,0.53,1.475,0.122,1.165,0.363,3.125,2.859,0.0
10.408,0.55,1.122,0.143,1.149,0.344,2.758,2.989,0.0
11.12,0.608,1.433,0.159,0.997,0.325,2.915,2.957,0.0
12.0,0.555,0.939,0.139,1.101,0.357,2.536,2.912,0.0
11.932,0.598,1.296,0.118,0.996,0.301,2.711,2.941,0.0
12.353,0.578,0.729,0.132,1.138,0.321,2.319,2.898,0.0
13.347,0.628,0.919,0.14,0.939,0.283,2.281,2.964,0.0
13.149,0.62,0.867,0.14,0.979,0.298,2.284,2.965,0.0
11.56,0.648,0.728,0.118,0.906,0.325,2.077,2.901,0.0
11.97,0.608,0.801,0.112,0.931,0.289,2.132,2.956,0.0
12.168,0.622,0.789,0.113,0.941,0.272,2.115,2.953,0.0
12.752,0.685,1.268,0.116,0.858,0.283,2.525,2.981,0.0
12.64,0.68,1.025,0.12,0.887,0.265,2.297,2.929,0.0
12.56,0.71,0.843,0.119,0.787,0.263,2.012,2.916,0.0
12.15,0.705,0.92,0.108,0.752,0.305,2.085,2.989,0.0
11.851,0.648,0.795,0.127,0.906,0.308,2.135,2.963,0.0
13.327,0.64,0.795,0.105,0.913,0.288,2.102,2.881,0.0
12.53,0.665,0.781,0.114,0.906,0.292,2.093,2.928,0.0
13.218,0.715,0.992,0.108,0.729,0.265,2.095,2.921,0.0
12.87,0.69,0.564,0.1,0.766,0.286,1.716,2.921,0.0
12.98,0.725,0.492,0.102,0.752,0.28,1.625,3.015,0.0
13.802,0.678,0.552,0.115,0.837,0.264,1.769,2.967,0.0
12.96,0.685,0.697,0.111,0.765,0.24,1.813,2.859,0.0
13.35,0.698,0.731,0.11,0.797,0.272,1.911,2.942,0.0
14.188,0.732,0.894,0.106,0.71,0.239,1.95,2.938,0.0
15.38,0.69,0.687,0.1,0.755,0.273,1.814,2.955,0.0
13.794,0.7,0.623,0.107,0.748,0.293,1.771,2.981,0.0
14.13,0.69,0.576,0.1,0.812,0.236,1.725,2.923,0.0
13.592,0.728,0.779,0.114,0.659,0.248,1.799,3.002,0.0
14.14,0.708,0.496,0.11,0.829,0.275,1.71,2.993,0.0
14.287,0.712,0.613,0.108,0.749,0.268,1.738,2.966,0.0
14.86,0.732,0.817,0.104,0.708,0.237,1.866,2.92,0.0
13.792,0.695,0.658,0.104,0.74,0.26,1.762,2.944,0.0
15.46,0.7,0.537,0.109,0.701,0.248,1.595,2.888,0.0
13.73,0.742,0.894,0.114,0.661,0.262,1.931,2.961,0.0
14.495,0.758,0.412,0.119,0.694,0.259,1.484,2.939,0.0
14.51,0.712,0.612,0.102,0.698,0.249,1.662,2.996,0.0
13.733,0.738,0.448,0.117,0.657,0.249,1.471,2.922,0.0
14.25,0.755,0.538,0.104,0.643,0.232,1.517,2.95,0.0
14.18,0.732,0.307,0.124,0.702,0.27,1.403,2.903,0.0
14.525,0.775,0.665,0.109,0.66,0.231,1.665,2.967,0.0
13.911,0.752,0.718,0.106,0.624,0.233,1.68,2.966,0.0
14.26,0.745,0.727,0.115,0.703,0.236,1.78,2.939,0.0
14.19,0.782,0.689,0.117,0.581,0.257,1.644,2.935,0.0
14.69,0.762,0.567,0.107,0.674,0.234,1.581,2.815,0.0
14.255,0.728,0.6,0.108,0.704,0.25,1.662,2.987,0.0
13.09,0.772,0.405,0.095,0.618,0.243,1.362,2.893,0.0
13.901,0.722,0.334,0.119,0.746,0.263,1.462,2.969,0.0
14.267,0.772,0.447,0.096,0.584,0.244,1.372,2.949,0.0
14.098,0.762,0.693,0.111,0.619,0.234,1.658,2.926,0.0
13.188,0.748,0.58,0.1,0.764,0.224,1.668,2.935,0.0
13.0,0.735,0.657,0.1,0.72,0.229,1.706,2.903,0.0
14.77,0.772,0.617,0.118,0.629,0.248,1.612,2.916,0.0
15.01,0.75,0.628,0.122,0.688,0.245,1.682,2.918,0.0
14.22,0.752,0.423,0.102,0.623,0.263,1.411,2.901,0.0
14.089,0.792,0.471,0.081,0.534,0.219,1.305,2.921,0.0
14.03,0.73,0.405,0.106,0.687,0.241,1.439,2.973,0.0
13.267,0.795,0.726,0.089,0.619,0.228,1.662,3.0,0.0
14.24,0.782,0.592,0.093,0.586,0.213,1.484,2.89,0.0
14.762,0.76,0.352,0.097,0.604,0.215,1.268,2.939,0.0
13.743,0.745,0.547,0.094,0.66,0.233,1.534,2.988,0.0
12.588,0.75,0.506,0.098,0.625,0.253,1.482,2.981,0.0
13.257,0.722,0.758,0.101,0.674,0.231,1.764,2.907,0.0
13.63,0.74,0.487,0.102,0.691,0.251,1.53,2.899,0.0
13.901,0.805,0.482,0.082,0.513,0.23,1.307,2.956,0.0
14.248,0.815,0.326,0.079,0.534,0.214,1.154,2.941,0.0
14.158,0.758,0.573,0.095,0.62,0.269,1.557,2.976,0.0
13.71,0.722,0.485,0.094,0.71,0.246,1.534,2.918,0.0
13.485,0.75,0.417,0.09,0.603,0.236,1.346,2.867,0.0
14.25,0.762,0.488,0.095,0.619,0.235,1.437,2.931,0.0
14.67,0.76,0.407,0.094,0.605,0.216,1.322,2.972,0.0
14.88,0.76,0.418,0.088,0.637,0.214,1.357,2.972,0.0
15.282,0.785,0.373,0.099,0.59,0.249,1.31,3.017,0.0
14.82,0.735,0.371,0.08,0.646,0.219,1.315,2.922,0.0
14.612,0.778,0.482,0.087,0.606,0.217,1.391,3.031,0.0
