mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.028,0.498,7.252,0.126,1.381,0.466,9.225,3.289,0.0
9.495,0.502,3.51,0.125,1.358,0.473,5.465,3.102,0.0
9.318,0.512,2.072,0.147,1.257,0.467,3.942,3.369,0.0
9.538,0.548,2.368,0.156,1.167,0.436,4.126,3.177,0.0
10.441,0.538,1.764,0.135,1.158,0.373,3.43,2.973,0.0
9.33,0.56,1.969,0.131,1.089,0.358,3.547,2.99,0.0
11.495,0.575,1.741,0.125,1.058,0.347,3.272,2.93,0.0
12.851,0.56,1.022,0.138,1.136,0.319,2.615,3.012,0.0
11.653,0.59,1.286,0.134,1.071,0.328,2.82,2.976,0.0
12.495,0.572,1.393,0.118,1.039,0.296,2.846,2.941,0.0
12.88,0.592,1.202,0.127,1.087,0.319,2.736,2.917,0.0
11.534,0.59,1.054,0.106,1.053,0.312,2.525,2.953,0.0
11.47,0.652,1.056,0.126,0.954,0.328,2.464,2.913,0.0
11.663,0.615,1.25,0.106,1.013,0.304,2.674,2.93,0.0
11.84,0.598,1.195,0.127,1.0,0.303,2.624,2.841,0.0
12.83,0.59,1.195,0.126,1.005,0.291,2.617,2.854,0.0
13.27,0.59,1.309,0.125,1.004,0.339,2.777,2.86,0.0
12.079,0.612,0.975,0.121,1.004,0.287,2.387,2.907,0.0
12.15,0.625,0.812,0.113,0.93,0.308,2.162,2.944,0.0
11.832,0.665,0.647,0.114,0.857,0.259,1.877,2.927,0.0
13.12,0.642,0.867,0.094,0.891,0.264,2.117,2.967,0.0
13.1,0.61,0.766,0.111,0.892,0.263,2.032,2.924,0.0
11.196,0.63,1.05,0.11,0.902,0.288,2.35,2.933,0.0
12.157,0.63,0.989,0.099,0.863,0.258,2.209,2.908,0.0
13.58,0.66,0.84,0.103,0.866,0.261,2.07,2.914,0.0
14.02,0.628,0.866,0.103,0.936,0.275,2.179,2.894,0.0
