mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.075,0.515,5.663,0.132,1.408,0.456,7.659,3.167,0.0
10.019,0.507,2.673,0.138,1.345,0.467,4.623,3.087,0.0
11.775,0.507,1.604,0.137,1.301,0.451,3.494,3.188,0.0
11.594,0.515,1.665,0.162,1.257,0.459,3.543,3.127,0.0
9.574,0.55,1.957,0.142,1.128,0.377,3.605,3.094,0.0
12.99,0.562,1.123,0.141,1.132,0.35,2.746,3.003,0.0
11.402,0.578,1.633,0.137,1.103,0.336,3.208,3.09,0.0
12.353,0.56,0.922,0.133,1.097,0.341,2.493,2.969,0.0
11.713,0.578,1.352,0.124,1.05,0.282,2.808,3.126,0.0
11.68,0.59,1.11,0.115,1.065,0.293,2.583,2.952,0.0
11.4,0.592,0.972,0.125,0.994,0.293,2.384,2.914,0.0
12.23,0.628,1.105,0.125,0.965,0.312,2.508,2.992,0.0
11.167,0.592,1.303,0.127,0.987,0.335,2.752,3.036,0.0
12.347,0.638,1.235,0.117,0.907,0.285,2.544,3.168,0.0
12.92,0.618,0.747,0.138,0.949,0.307,2.141,3.117,0.0
13.089,0.592,0.999,0.109,0.943,0.287,2.338,3.345,0.0
12.137,0.655,0.921,0.107,0.858,0.296,2.183,3.358,0.0
12.535,0.66,1.029,0.106,0.851,0.275,2.261,3.263,0.0
12.64,0.672,0.899,0.12,0.784,0.272,2.074,3.351,0.0
12.149,0.642,0.861,0.11,0.845,0.282,2.098,3.213,0.0
13.01,0.655,0.905,0.119,0.921,0.269,2.214,2.955,0.0
12.25,0.685,0.757,0.101,0.835,0.263,1.956,2.945,0.0
12.535,0.638,0.935,0.108,0.866,0.227,2.136,3.035,0.0
11.92,0.72,1.04,0.103,0.732,0.223,2.099,2.99,0.0
13.46,0.64,0.914,0.096,0.842,0.276,2.128,2.95,0.0
12.842,0.708,0.802,0.12,0.786,0.263,1.971,2.952,0.0
12.98,0.662,0.731,0.103,0.769,0.264,1.867,2.972,0.0
12.24,0.642,1.073,0.133,0.884,0.263,2.353,2.964,0.0
13.225,0.672,0.819,0.112,0.797,0.267,1.995,2.998,0.0
12.693,0.668,0.699,0.109,0.8,0.261,1.87,3.035,0.0
12.307,0.695,0.922,0.101,0.775,0.276,2.074,3.046,0.0
12.238,0.692,1.062,0.117,0.81,0.279,2.269,2.948,0.0
11.94,0.698,0.829,0.115,0.781,0.267,1.992,2.903,0.0
